attribute,category,type,question,option_1,option_2,option_3,result_majority,agreement
Malleability,ice_skate,Physics,Malleability: Can an ice_skate be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,igniter,Physics,"Elasticity: If you were to deform an igniter (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Softness,igniter,Physics,"Softness: What is the softness (fluffyness, squishiness) of an igniter?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,igniter,Physics,Sharpness: What is sharpness of an igniter?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,igniter,Physics,Malleability: Can an igniter be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,inhaler,Physics,"Elasticity: If you were to deform an inhaler (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,inhaler,Physics,"Softness: What is the softness (fluffyness, squishiness) of an inhaler?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,inhaler,Physics,Sharpness: What is sharpness of an inhaler?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,inhaler,Physics,Malleability: Can an inhaler be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,ink_cartridge,Physics,"Elasticity: If you were to deform an ink_cartridge (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Softness,ink_cartridge,Physics,"Softness: What is the softness (fluffyness, squishiness) of an ink_cartridge?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Malleability,ink_cartridge,Physics,Malleability: Can an ink_cartridge be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Brittleness,inositol,Physics,"Brittleness: How easy is it for an inositol to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Sharpness,inositol,Physics,Sharpness: What is sharpness of an inositol?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,inositol,Physics,Malleability: Can an inositol be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,ipod,Physics,"Elasticity: If you were to deform an ipod (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,ipod,Physics,"Softness: What is the softness (fluffyness, squishiness) of an ipod?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,ipod,Physics,Sharpness: What is sharpness of an ipod?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,ipod,Physics,Malleability: Can an ipod be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Brittleness,jacket,Physics,"Brittleness: How easy is it for a jacket to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,jacket,Physics,"Softness: What is the softness (fluffyness, squishiness) of a jacket?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,jacket,Physics,Sharpness: What is sharpness of a jacket?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,jacket,Physics,Malleability: Can a jacket be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,3.0,0.75
Elasticity,jam,Physics,"Elasticity: If you were to deform a jam (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Surface smoothness,jam,Physics,Surface smoothness: What is the surface smoothness of a jam?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Softness,jam,Physics,"Softness: What is the softness (fluffyness, squishiness) of a jam?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,jam,Physics,Sharpness: What is sharpness of a jam?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,jam,Physics,Malleability: Can a jam be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,jar,Physics,"Elasticity: If you were to deform a jar (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,jar,Physics,Surface smoothness: What is the surface smoothness of a jar?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Softness,jar,Physics,"Softness: What is the softness (fluffyness, squishiness) of a jar?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,jar,Physics,Sharpness: What is sharpness of a jar?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,jar,Physics,Malleability: Can a jar be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Softness,jean,Physics,"Softness: What is the softness (fluffyness, squishiness) of a jean?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,0.75
Sharpness,jean,Physics,Sharpness: What is sharpness of a jean?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Elasticity,jewel,Physics,"Elasticity: If you were to deform a jewel (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,jewel,Physics,"Softness: What is the softness (fluffyness, squishiness) of a jewel?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Malleability,jewel,Physics,Malleability: Can a jewel be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,jewelry,Physics,"Elasticity: If you were to deform a jewelry (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,jewelry,Physics,Surface smoothness: What is the surface smoothness of a jewelry?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,1.0,0.75
Surface Hardness,jewelry,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a jewelry?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Softness,jewelry,Physics,"Softness: What is the softness (fluffyness, squishiness) of a jewelry?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Malleability,jewelry,Physics,Malleability: Can a jewelry be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Elasticity,keg,Physics,"Elasticity: If you were to deform a keg (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,keg,Physics,Surface smoothness: What is the surface smoothness of a keg?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,1.0,0.75
Brittleness,keg,Physics,"Brittleness: How easy is it for a keg to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,keg,Physics,"Softness: What is the softness (fluffyness, squishiness) of a keg?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,keg,Physics,Sharpness: What is sharpness of a keg?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,keg,Physics,Stiffness: What is the amount of continued weight that a keg can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,1.0
Malleability,keg,Physics,Malleability: Can a keg be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,kettle,Physics,"Elasticity: If you were to deform a kettle (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Brittleness,kettle,Physics,"Brittleness: How easy is it for a kettle to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,kettle,Physics,"Softness: What is the softness (fluffyness, squishiness) of a kettle?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,kettle,Physics,Sharpness: What is sharpness of a kettle?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,kettle,Physics,Malleability: Can a kettle be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,key,Physics,"Elasticity: If you were to deform a key (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Brittleness,key,Physics,"Brittleness: How easy is it for a key to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,key,Physics,"Softness: What is the softness (fluffyness, squishiness) of a key?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Malleability,key,Physics,Malleability: Can a key be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,keycard,Physics,"Elasticity: If you were to deform a keycard (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Surface smoothness,keycard,Physics,Surface smoothness: What is the surface smoothness of a keycard?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Softness,keycard,Physics,"Softness: What is the softness (fluffyness, squishiness) of a keycard?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,keycard,Physics,Sharpness: What is sharpness of a keycard?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,keycard,Physics,Malleability: Can a keycard be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,kimono,Physics,"Elasticity: If you were to deform a kimono (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,1.0
Surface smoothness,kimono,Physics,Surface smoothness: What is the surface smoothness of a kimono?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,1.0
Brittleness,kimono,Physics,"Brittleness: How easy is it for a kimono to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,kimono,Physics,"Softness: What is the softness (fluffyness, squishiness) of a kimono?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,kimono,Physics,Sharpness: What is sharpness of a kimono?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,kimono,Physics,Malleability: Can a kimono be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,3.0,0.75
Elasticity,kitchen_appliance,Physics,"Elasticity: If you were to deform a kitchen_appliance (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,kitchen_appliance,Physics,"Softness: What is the softness (fluffyness, squishiness) of a kitchen_appliance?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Stiffness,kitchen_appliance,Physics,Stiffness: What is the amount of continued weight that a kitchen_appliance can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,1.0
Malleability,kitchen_appliance,Physics,Malleability: Can a kitchen_appliance be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,kitchen_sink,Physics,"Elasticity: If you were to deform a kitchen_sink (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface Hardness,kitchen_sink,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a kitchen_sink?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,3.0,0.75
Brittleness,kitchen_sink,Physics,"Brittleness: How easy is it for a kitchen_sink to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,kitchen_sink,Physics,"Softness: What is the softness (fluffyness, squishiness) of a kitchen_sink?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,kitchen_sink,Physics,Sharpness: What is sharpness of a kitchen_sink?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Malleability,kitchen_sink,Physics,Malleability: Can a kitchen_sink be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,kitchen_utensil,Physics,"Elasticity: If you were to deform a kitchen_utensil (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,kitchen_utensil,Physics,"Softness: What is the softness (fluffyness, squishiness) of a kitchen_utensil?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,0.75
Sharpness,kitchen_utensil,Physics,Sharpness: What is sharpness of a kitchen_utensil?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,kitchen_utensil,Physics,Malleability: Can a kitchen_utensil be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,kitchenware,Physics,"Elasticity: If you were to deform a kitchenware (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Softness,kitchenware,Physics,"Softness: What is the softness (fluffyness, squishiness) of a kitchenware?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,kitchenware,Physics,Sharpness: What is sharpness of a kitchenware?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Stiffness,kitchenware,Physics,Stiffness: What is the amount of continued weight that a kitchenware can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,1.0
Malleability,kitchenware,Physics,Malleability: Can a kitchenware be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,kite,Physics,"Elasticity: If you were to deform a kite (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Stiffness,kite,Physics,Stiffness: What is the amount of continued weight that a kite can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,1.0,0.75
Malleability,kitten,Physics,Malleability: Can a kitten be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Surface Hardness,kiwi,Physics,Surface Hardness: How resistant to scratches or bruises is the surface of a kiwi?,Low: surface can be easily scratched or bruised.,"Moderate: surface is resistant to most unintentional damage, but could be scratched if force is applied.",High: object does not get scratched or bruised easily.,1.0,0.75
Softness,kiwi,Physics,"Softness: What is the softness (fluffyness, squishiness) of a kiwi?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,kiwi,Physics,Sharpness: What is sharpness of a kiwi?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,kiwi,Physics,Stiffness: What is the amount of continued weight that a kiwi can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,1.0,0.75
Malleability,kiwi,Physics,Malleability: Can a kiwi be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
Brittleness,knee_pad,Physics,"Brittleness: How easy is it for a knee_pad to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,1.0
Sharpness,knee_pad,Physics,Sharpness: What is sharpness of a knee_pad?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,knee_pad,Physics,Stiffness: What is the amount of continued weight that a knee_pad can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,0.75
Elasticity,knife,Physics,"Elasticity: If you were to deform a knife (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Surface smoothness,knife,Physics,Surface smoothness: What is the surface smoothness of a knife?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,1.0
Brittleness,knife,Physics,"Brittleness: How easy is it for a knife to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,knife,Physics,"Softness: What is the softness (fluffyness, squishiness) of a knife?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,knife,Physics,Sharpness: What is sharpness of a knife?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,3.0,1.0
Malleability,knife,Physics,Malleability: Can a knife be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,knob,Physics,"Elasticity: If you were to deform a knob (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,1.0
Surface smoothness,knob,Physics,Surface smoothness: What is the surface smoothness of a knob?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Brittleness,knob,Physics,"Brittleness: How easy is it for a knob to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,knob,Physics,"Softness: What is the softness (fluffyness, squishiness) of a knob?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,knob,Physics,Sharpness: What is sharpness of a knob?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,1.0
Stiffness,knob,Physics,Stiffness: What is the amount of continued weight that a knob can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,1.0
Malleability,knob,Physics,Malleability: Can a knob be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,1.0
Elasticity,lab_coat,Physics,"Elasticity: If you were to deform a lab_coat (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,3.0,0.75
Surface smoothness,lab_coat,Physics,Surface smoothness: What is the surface smoothness of a lab_coat?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Brittleness,lab_coat,Physics,"Brittleness: How easy is it for a lab_coat to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,lab_coat,Physics,"Softness: What is the softness (fluffyness, squishiness) of a lab_coat?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,3.0,1.0
Sharpness,lab_coat,Physics,Sharpness: What is sharpness of a lab_coat?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Stiffness,lab_coat,Physics,Stiffness: What is the amount of continued weight that a lab_coat can withstand before deforming or cracking? ,Low: object can support very minimal weight before deforming or cracking.,"Moderate: object can withstand a small amount of weight, but something heavy (i.e. a 10 kg weight) will be able to deform or break the object.",High: object can easily withstand more than a 10 kg weight.,3.0,1.0
Elasticity,ladle,Physics,"Elasticity: If you were to deform a ladle (by squeezing, hitting, etc.) can it recover to its original form?",No: Object will not be able to return to its original form.,Somewhat: Object may recover to its original form but will have signs of previous deformations. ,Yes: Object is capable of recovering near perfectly to the original form.,1.0,0.75
Surface smoothness,ladle,Physics,Surface smoothness: What is the surface smoothness of a ladle?,"Low: majority of surface is very rough, or has many bumps.","Moderate: some parts of surface are smooth, while some parts are not.",High: majority of surface is smooth.,3.0,0.75
Brittleness,ladle,Physics,"Brittleness: How easy is it for a ladle to break (shatter, crack) when a sudden impact force is applied?","Low: object can withstand most impact forces (drop, smash, etc.).",Moderate: object can withstand minor impact forces.,High: object shatters easily with impact force.,1.0,0.75
Softness,ladle,Physics,"Softness: What is the softness (fluffyness, squishiness) of a ladle?",Low: object is hard.,Moderate: some parts of the object are soft.,High: the majority of the object is soft.,1.0,1.0
Sharpness,ladle,Physics,Sharpness: What is sharpness of a ladle?,Low: object does not have sharp corners/edges and is not capable of piercing.,Moderate: object may have sharp corners / edges but is not designed to pierce.,High: object is designed to pierce.,1.0,0.75
Malleability,ladle,Physics,Malleability: Can a ladle be reshaped to other forms?,No: object cannot be reshaped.,Somewhat: object can be slightly reshaped.,Yes: the object can be reshaped to most arbitrary forms.,1.0,0.75
